term,slug,definition,related_terms,unresolved_related_terms
AEA,aea,"Abreviação de **Anandamida** – um dos principais endocanabinoides do organismo, responsável por modular dor, humor, apetite e memória. Ver **Anandamida** para a definição completa.","[""Anandamida"", ""Endocanabinoide"", ""Endocanabinoides""]",[]
Anandamida,anandamida,"Também chamada de **N-araquidonoil-etanolamina**, é um endocanabinoide – molécula produzida pelo corpo que se liga aos receptores canabinoides. Foi o primeiro endocanabinoide descoberto e recebeu o nome “anandamida” derivado de *ananda* (“felicidade” em sânscrito) devido ao seu papel no prazer e bem-estar. Ao se ligar principalmente aos receptores CB1 no sistema nervoso central, a anandamida 3 modula dor, humor, apetite e memória . É metabolicamente frágil, sendo degradada rapidamente pela enzima FAAH, o que limita sua duração de ação no organismo.","[""AEA"", ""Anandamida"", ""CB1"", ""Endocanabinoide"", ""FAAH"", ""Receptores Canabinoides""]",[]
Ansiolítico,ansiolitico,"Medicamento ou substância que reduz a ansiedade. Certos componentes da cannabis, especialmente o **CBD (canabidiol)**, apresentam propriedades ansiolíticas significativas . O CBD pode atenuar 4 sintomas de transtornos de ansiedade sem os efeitos colaterais de sedativos tradicionais. Em alguns casos, doses baixas de THC também podem ter efeito ansiogênico (redução da ansiedade), embora doses altas de THC possam ter o efeito oposto (provocar ansiedade), caracterizando uma resposta 5 bifásica .","[""Ansiedade"", ""Ansiolítico"", ""CBD"", ""Canabidiol"", ""Cannabis"", ""Sedativo"", ""THC""]",[]
Anti-inflamatório,anti-inflamatorio,"Agente que reduz a inflamação ou a resposta inflamatória do organismo. Diversos constituintes da cannabis têm propriedades anti-inflamatórias – o **CBD** é destacado como potente modulador de 4 inflamação, atuando em vias como a de citocinas e sistema imunológico . THC e certos terpenos 8 7 (como mirceno e beta-cariofileno) também contribuem para efeitos anti-inflamatórios . Esses compostos podem auxiliar no tratamento de condições inflamatórias crônicas, como artrites e doenças autoimunes, integrando terapias adjuvantes.","[""Anti-inflamatório"", ""Artrites"", ""Beta-Cariofileno"", ""Beta-cariofileno"", ""CBD"", ""Cannabis"", ""Cariofileno"", ""Citocinas"", ""Doenças Autoimunes"", ""Mirceno"", ""RSO"", ""Sistema Imunológico"", ""THC"", ""Terpenos""]",[]
Antiemético,antiemetico,"Fármaco ou substância usada para combater náuseas e vômitos. A cannabis medicinal é reconhecida por seu efeito antiemético, em especial pelo THC, que foi aprovado em diversos países para náuseas 6 induzidas por quimioterapia . O THC e outros canabinoides atuam em receptores no tronco cerebral que controlam o reflexo do vômito, reduzindo náuseas. Medicamentos como **dronabinol** (THC sintético) são utilizados clinicamente com essa finalidade. Ademais, o efeito é potencializado pelo espectro completo da planta – por exemplo, a combinação de THC com CBD e terpenos pode aumentar a eficácia 7 antiemética .","[""CBD"", ""Cannabis"", ""Cannabis Medicinal"", ""Dronabinol"", ""Espectro Completo"", ""Espectro Completo da Planta"", ""Quimioterapia"", ""RSO"", ""Reflexo do Vômito"", ""THC"", ""Terpenos"", ""Tronco Cerebral""]",[]
Broad Spectrum,broad-spectrum,"Denominação comercial para extratos de cannabis de **espectro amplo**, que preservam todos os canabinoides e terpenos naturais, exceto o THC. Ver **Extratos de Cannabis** para detalhes sobre Full, Broad e Isolados.","[""Cannabis"", ""Espectro Amplo"", ""Extratos de Cannabis"", ""Isolados"", ""THC"", ""Terpenos""]",[]
Canabidiol,canabidiol,"13 Um dos principais **fitocanabinoides** da cannabis, responsável por até 40% dos extratos da planta . 14 Diferentemente do **THC**, o CBD **não é psicoativo**, ou seja, não causa euforia nem intoxicação . Ele interage com diversas vias biológicas – tem baixa afinidade pelos receptores CB1 e CB2 do sistema endocanabinoide, mas modula indiretamente esses e outros receptores (como TRPV1, 5-HT1A, 15 receptores de adenosina, etc.), conferindo uma ampla gama de efeitos terapêuticos . O CBD possui propriedades ansiolíticas, anticonvulsivantes, antipsicóticas, neuroprotetoras, anti-inflamatórias e 4 analgésicas, entre outras . Medicinalmente, é utilizado no tratamento de epilepsias refratárias (foi aprovado como medicamento *Epidiolex* em alguns países), ansiedade, insônia, dor crônica, Parkinson, entre várias condições. No Brasil, o canabidiol deixou de figurar como substância proibida em 2015, quando a **ANVISA** o reclassificou como substância de controle especial Lista C1, permitindo sua 16 prescrição médica especial .","[""5-HT1A"", ""ANVISA"", ""Analgésico"", ""Ansiedade"", ""Ansiolítico"", ""Anti-inflamatório"", ""Anticonvulsivante"", ""Antipsicótico"", ""CB1"", ""CB2"", ""CBD"", ""Cannabis"", ""Dor Crônica"", ""Endocanabinoide"", ""Epidiolex"", ""Epilepsias Refratárias"", ""Fitocanabinoide"", ""Fitocanabinoides"", ""Insônia"", ""Neuroprotetor"", ""Parkinson"", ""Psicoativo"", ""Receptores de Adenosina"", ""Sistema Endocanabinoide"", ""THC""]",[]
Canabigerol,canabigerol,"Canabigerol é um fitocanabinoide não psicoativo, frequentemente chamado de “*mãe de todos os canabinoides*”. Isso porque o **CBGA (ácido canabigerólico)** é o precursor biossintético a partir do qual a planta produz os demais canabinoides principais, como THCA, CBDA e CBCA. Durante o crescimento da cannabis, a maior parte do CBGA é convertida nessas outras moléculas, de modo que o CBG geralmente representa menos de 1% dos compostos na planta seca . Algumas variedades 27 28 especiais, porém, são cultivadas para acumular CBG em maior quantidade. Farmacologicamente, o CBG 4 atua fracamente nos receptores canabinoides (CB1 e CB2), mas demonstra afinidade por outros alvos: é agonista potente de receptores adrenérgicos α-2, antagonista do receptor de serotonina 5-HT1A e modulador de canais iônicos TRP . Estudos pré-clínicos sugerem propriedades ansiolíticas, 29 antidepressivas, anti-inflamatórias, neuroprotetoras e até efeitos contra células tumorais para o CBG . Devido a seu perfil multifacetado e não intoxicante, o CBG vem ganhando interesse como 30 componente terapêutico em preparações de espectro completo.","[""5-HT1A"", ""Agonista"", ""Ansiolítico"", ""Antagonista"", ""Anti-inflamatório"", ""Antidepressivo"", ""CB1"", ""CB2"", ""CBC"", ""CBCA"", ""CBD"", ""CBDA"", ""CBG"", ""CBGA"", ""Cannabis"", ""Células Tumorais"", ""Espectro Completo"", ""Fitocanabinoide"", ""Neuroprotetor"", ""Psicoativo"", ""RSO"", ""Receptores Canabinoides"", ""SEC"", ""Serotonina"", ""THC"", ""THCA"", ""Ácido Canabigerólico""]",[]
Canabinoides Sintéticos,canabinoides-sinteticos,"Substâncias desenvolvidas em laboratório que imitam a ação dos canabinoides naturais ao se ligarem aos receptores canabinoides do corpo . Podem incluir medicamentos aprovados (por exemplo, 23 **dronabinol** – THC sintético; **nabilona** – análogo do THC) usados terapeuticamente, mas também compreendem compostos não regulamentados encontrados em drogas de abuso conhecidas como “**K2**” ou “**Spice**”. Esses últimos são misturas de ervas pulverizadas com canabinoides sintéticos potentes, consumidas para produzir efeitos psicoativos similares aos da maconha. Canabinoides sintéticos ilícitos podem ser muito mais potentes e perigosos que o THC natural, levando a efeitos colaterais graves (taquicardia, psicose, convulsões). Já os canabinoides sintéticos farmacêuticos são utilizados sob prescrição, por exemplo, para náuseas de quimioterapia ou estimular apetite em caquexia, com segurança monitorada. Em geral, o termo refere-se a qualquer agonista de receptores CB1/CB2 não presente na planta, sintetizado artificialmente.","[""Agonista"", ""CB1"", ""CB2"", ""Canabinoides Sintéticos"", ""Caquexia"", ""Convulsões"", ""Drogas de Abuso"", ""Dronabinol"", ""K2"", ""Maconha"", ""Nabilona"", ""Psicoativo"", ""Psicose"", ""Quimioterapia"", ""Receptores Canabinoides"", ""Spice"", ""THC"", ""Taquicardia""]",[]
Canabinol,canabinol,"Forma longa de **CBN (Canabinol)**, canabinoide levemente psicoativo formado a partir da oxidação do THC. Ver **CBN** para a descrição completa.","[""CBN"", ""Psicoativo"", ""THC""]",[]
Cannabicromeno,cannabicromeno,"Sinônimo de **CBC (Cannabicromeno)**, fitocanabinoide não psicoativo com propriedades anti‑inflamatórias e analgésicas. Ver **CBC**.","[""Analgésico"", ""CBC"", ""Fitocanabinoide"", ""Psicoativo""]",[]
Cannabinoide,cannabinoide,"Termo genérico para substâncias químicas que se ligam aos **receptores canabinoides** do organismo 22 (CB1 e CB2, principalmente) . Engloba três classes: **fitocanabinoides** (produzidos pelas plantas do gênero Cannabis ou mesmo por outras plantas – ex.: THC, CBD, CBG), **endocanabinoides** (produzidos naturalmente pelo corpo humano – ex.: anandamida, 2-AG) e **canabinoides sintéticos** (moléculas análogas criadas em laboratório) . Os fitocanabinoides são responsáveis por grande parte dos 23 3 efeitos farmacológicos da cannabis. Eles podem atuar como agonistas parciais, completos ou antagonistas dos receptores CB1 (predominante no sistema nervoso central) e CB2 (no sistema imune e periférico). A interação canabinoide–receptor resulta em diversos efeitos, como analgesia, modulação do apetite, memória, humor, resposta imune, entre outros. O termo “canabinoide” é amplo – por exemplo, THC e CBD são ambos canabinoides, embora com propriedades distintas.","[""2-AG"", ""Agonista"", ""Anandamida"", ""Antagonista"", ""CB1"", ""CB2"", ""CBD"", ""CBG"", ""Canabinoides Sintéticos"", ""Cannabis"", ""Endocanabinoide"", ""Endocanabinoides"", ""Fitocanabinoide"", ""Fitocanabinoides"", ""RSO"", ""Receptores Canabinoides"", ""THC""]",[]
Cannabis,Cannabis,"Gênero botânico monotípico cuja única espécie amplamente reconhecida é *Cannabis sativa* L., embora haja debate taxonômico sobre subdivisões em *indica* e *ruderalis*. Popularmente, “cannabis” designa a planta cujas flores (inflorescências) produzidas pelas fêmeas contêm compostos psicoativos – 17 18 conhecida como **maconha** quando usada como droga recreativa . Botanicamente, a cannabis é uma planta anual, geralmente dioica (indivíduos macho e fêmea separados). Possui dezenas de quimiovariantes (chemovares) e cultivares com perfis químicos diversos (proporções variadas de canabinoides e terpenos) . A principal substância psicoativa presente é o **THC (delta-9-** 19 20 14 **tetrahidrocanabinol)**, enquanto o **CBD (canabidiol)** é o principal canabinoide não psicoativo . Além desses, a planta produz mais de uma centena de fitocanabinoides (CBG, CBN, CBC, THCV etc.) e centenas de terpenos e flavonoides. **Cannabis medicinal** refere-se ao uso controlado dos derivados da planta para tratar ou aliviar sintomas de doenças. Em muitos países, inclusive o Brasil, o cultivo e posse da cannabis sem autorização permanecem ilegais (ver **Lei de Drogas**), salvo exceções para fins 21 medicinais ou científicos sob regulamentação .","[""CBC"", ""CBD"", ""CBG"", ""CBN"", ""Canabidiol"", ""Canabinol"", ""Cannabis Medicinal"", ""Cannabis Sativa"", ""Chemovar"", ""Cultivares"", ""Fitocanabinoide"", ""Fitocanabinoides"", ""Flavonoide"", ""Flavonoides"", ""Indica"", ""Lei de Drogas"", ""Maconha"", ""Psicoativo"", ""Quimiovar"", ""Quimiovariantes"", ""RSO"", ""Ruderalis"", ""Sativa"", ""THC"", ""THCV"", ""Terpenos""]",[]
CB1,cb1,"Sigla para **Receptor Canabinoide Tipo 1 (CB1)**, presente sobretudo no sistema nervoso central e responsável pelos efeitos neurológicos do THC. Ver em **Receptores Canabinoides**.","[""CB1"", ""Receptores Canabinoides"", ""THC""]",[]
CB2,cb2,"Sigla para **Receptor Canabinoide Tipo 2 (CB2)**, localizado principalmente em células do sistema imunológico, modulando inflamação. Ver em **Receptores Canabinoides**.","[""CB2"", ""Receptores Canabinoides"", ""Sistema Imunológico""]",[]
CBC,cbc,"Canabicromeno é um fitocanabinoide não psicoativo encontrado na cannabis, considerado um dos “seis 24 grandes” canabinoides em termos de prevalência e potencial terapêutico . O CBC é produzido a partir do CBGA (ácido canabigerólico) durante o desenvolvimento da planta, assim como THC e CBD. Embora normalmente apareça em baixas concentrações, algumas linhagens podem apresentar níveis mais altos de CBC. Estudos indicam que o CBC tem propriedades anti-inflamatórias, analgésicas, antidepressivas e **anticonvulsivantes**, além de potencial efeito promissor no combate a células cancerígenas em modelos pré-clínicos . O CBC também parece inibir a recaptação de 25 endocanabinoides (como a anandamida), prolongando sua ação, e interagir com canais TRP (receptores 26 de potencial transitório) envolvidos na detecção de dor e inflamação . Por si só e em sinergia com outros canabinoides, o CBC contribui para o **efeito entourage** da planta.","[""Analgésico"", ""Anandamida"", ""Anti-inflamatório"", ""Anticonvulsivante"", ""Antidepressivo"", ""CBC"", ""CBD"", ""CBG"", ""CBGA"", ""Cannabicromeno"", ""Cannabis"", ""Efeito Entourage"", ""Endocanabinoide"", ""Endocanabinoides"", ""Fitocanabinoide"", ""Indica"", ""Psicoativo"", ""THC"", ""Ácido Canabigerólico""]",[]
CBD,cbd,"Abreviação de **Canabidiol**, o principal canabinoide não psicoativo da planta. Ver **Canabidiol** para explicação completa.","[""Canabidiol"", ""Psicoativo""]",[]
CBG,cbg,"Canabigerol é um fitocanabinoide não psicoativo, frequentemente chamado de “*mãe de todos os canabinoides*”. Isso porque o **CBGA (ácido canabigerólico)** é o precursor biossintético a partir do qual a planta produz os demais canabinoides principais, como THCA, CBDA e CBCA. Durante o crescimento da cannabis, a maior parte do CBGA é convertida nessas outras moléculas, de modo que o CBG geralmente representa menos de 1% dos compostos na planta seca . Algumas variedades 27 28 especiais, porém, são cultivadas para acumular CBG em maior quantidade. Farmacologicamente, o CBG 4 atua fracamente nos receptores canabinoides (CB1 e CB2), mas demonstra afinidade por outros alvos: é agonista potente de receptores adrenérgicos α-2, antagonista do receptor de serotonina 5-HT1A e modulador de canais iônicos TRP . Estudos pré-clínicos sugerem propriedades ansiolíticas, 29 antidepressivas, anti-inflamatórias, neuroprotetoras e até efeitos contra células tumorais para o CBG . Devido a seu perfil multifacetado e não intoxicante, o CBG vem ganhando interesse como 30 componente terapêutico em preparações de espectro completo.","[""5-HT1A"", ""Agonista"", ""Ansiolítico"", ""Antagonista"", ""Anti-inflamatório"", ""Antidepressivo"", ""CB1"", ""CB2"", ""CBC"", ""CBCA"", ""CBD"", ""CBDA"", ""CBG"", ""CBGA"", ""Canabigerol"", ""Cannabis"", ""Células Tumorais"", ""Espectro Completo"", ""Fitocanabinoide"", ""Neuroprotetor"", ""Psicoativo"", ""RSO"", ""Receptores Canabinoides"", ""SEC"", ""Serotonina"", ""THC"", ""THCA"", ""Ácido Canabigerólico""]",[]
CBN,cbn,"Canabinol é um canabinoide levemente psicoativo que aparece principalmente como produto de degradação do THC. Quando o THC presente na cannabis oxida ou envelhece (por armazenagem prolongada ou exposição ao ar/calor), parte dele se converte em CBN. Por isso, lotes antigos de maconha tendem a ter mais CBN e menos THC. Farmacologicamente, o CBN é um agonista fraco dos receptores CB1 e CB2. Seu efeito psicoativo é muito menor que o do THC – geralmente é descrito como sedativo em vez de euforizante. O CBN pode causar leve sonolência e é investigado por possível uso como indutor do sono. Também apresenta propriedades **analgésicas** e anti-inflamatórias moderadas, 31 possivelmente em sinergia com THC . No contexto medicinal, o canabinol pode contribuir para o perfil terapêutico de extratos de cannabis **envelhecidos** ou de espectro completo, ajudando no manejo da insônia e dor. Vale notar que o CBN, apesar de ser produto de degradação, **não** é tóxico – ao contrário, mantém valor farmacológico. Pesquisas continuam explorando seu potencial, incluindo atividade antibacteriana e neuroprotetora preliminar.","[""Agonista"", ""Analgésico"", ""Anti-inflamatório"", ""Antibacteriano"", ""CB1"", ""CB2"", ""CBN"", ""Canabinol"", ""Cannabis"", ""Espectro Completo"", ""Extratos de Cannabis"", ""Insônia"", ""Maconha"", ""Psicoativo"", ""Sedativo"", ""Sonolência"", ""THC""]",[]
Chemovar,chemovar,"Grafia em inglês de **Quimiovar**, classificação de variedades de cannabis baseada no perfil químico de canabinoides e terpenos em vez de aparência. Ver **Quimiovar**.","[""Cannabis"", ""Quimiovar"", ""Terpenos""]",[]
Comestível,comestivel,"No contexto canábico, refere-se a qualquer produto alimentício infundido com princípios ativos da cannabis (canabinoides). **Comestíveis** podem ser preparados doces ou salgados – por exemplo: brownies, balas, chocolates, biscoitos, manteigas, azeites e até bebidas contendo extrato de cannabis. Quando ingeridos, os canabinoides passam pelo metabolismo hepático (efeito de primeira passagem), resultando em uma ação mais tardia porém prolongada em comparação à inalação. Os efeitos dos comestíveis podem demorar de 30 minutos a 2 horas para serem sentidos e durar 6 horas ou mais. Uma característica é que o fígado converte THC em 11-hidroxi-THC, um metabólito ativo que atravessa bem a barreira hematoencefálica, frequentemente produzindo efeito mais intenso e duradouro do que 32 33 o THC inalado . Os comestíveis são amplamente usados medicamente para dores crônicas e distúrbios do sono, por fornecerem alívio de longa duração. É fundamental padronizar doses nos comestíveis, dado que a biodisponibilidade oral é menor e mais variável (cerca de 6–20%) em comparação à inalação , e o início lento pode levar usuários inexperientes a ingerirem doses 34 excessivas inadvertidamente.","[""11-hidroxi-THC"", ""Barreira Hematoencefálica"", ""Biodisponibilidade"", ""Biodisponibilidade Oral"", ""Cannabis"", ""Dores Crônicas"", ""Metabolismo Hepático"", ""THC""]",[]
Cultivo Medicinal,cultivo-medicinal,"Prática de cultivar plantas de cannabis exclusivamente para fins terapêuticos, geralmente amparada por decisões judiciais de **habeas corpus** no Brasil. Engloba desde cultivo doméstico individual até cultivo associativo.","[""Cannabis"", ""Cultivo Associativo"", ""Cultivo Doméstico"", ""Habeas Corpus""]",[]
Descarboxilação,descarboxilacao,"Reação química que remove um grupo carboxila (–COOH) de uma molécula, liberando dióxido de carbono (CO₂). Em termos práticos, é o processo pelo qual os canabinoides ácidos da planta fresca de cannabis se convertem em suas formas neutras ativas. Por exemplo, o **THCA** (ácido tetraidrocanabinólico) se descarboxila em **THC**, e o **CBDA** em **CBD**, quando expostos ao calor ou tempo 36 . A descarboxilação ocorre ao aquecer a cannabis – seja ao fumar, vaporizar ou cozinhar. Sem descarboxilar, os canabinoides permanecem em formas ácidas que geralmente não são psicoativas (THCA não causa “barato”) e podem ter efeitos terapêuticos distintos. Por isso, para produzir óleos, tinturas ou comestíveis eficazes, frequentemente descarboxila-se a planta (por exemplo, aquecendo as flores no forno a \~115°C por decerto tempo). Curiosamente, o corpo também promove alguma descarboxilação: se uma pessoa ingerir cannabis crua, parte do THCA pode ser convertida em THC pelo calor metabólico, mas de forma muito ineficiente. Em resumo, a descarboxilação é essencial para ativar 37 os principais princípios ativos da cannabis .","[""CBD"", ""CBDA"", ""Cannabis"", ""Descarboxilação"", ""THC"", ""THCA"", ""Ácido Tetraidrocanabinólico""]",[]
